date,kw_hypothek
2008-01-01,0
2008-02-01,0
2008-03-01,0
2008-04-01,0
2008-05-01,0
2008-06-01,0
2008-07-01,0
2008-08-01,0
2008-09-01,0
2008-10-01,67
2008-11-01,0
2008-12-01,0
2009-01-01,0
2009-02-01,0
2009-03-01,0
2009-04-01,0
2009-05-01,100
2009-06-01,0
2009-07-01,0
2009-08-01,85
2009-09-01,0
2009-10-01,0
2009-11-01,0
2009-12-01,0
2010-01-01,54
2010-02-01,0
2010-03-01,0
2010-04-01,58
2010-05-01,52
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,69
2010-10-01,57
2010-11-01,56
2010-12-01,0
2011-01-01,38
2011-02-01,44
2011-03-01,38
2011-04-01,35
2011-05-01,38
2011-06-01,41
2011-07-01,40
2011-08-01,0
2011-09-01,35
2011-10-01,31
2011-11-01,63
2011-12-01,51
2012-01-01,66
2012-02-01,47
2012-03-01,47
2012-04-01,43
2012-05-01,38
2012-06-01,43
2012-07-01,45
2012-08-01,46
2012-09-01,36
2012-10-01,36
2012-11-01,34
2012-12-01,28
2013-01-01,61
2013-02-01,50
2013-03-01,41
2013-04-01,31
2013-05-01,44
2013-06-01,32
2013-07-01,36
2013-08-01,33
2013-09-01,36
2013-10-01,43
2013-11-01,49
2013-12-01,37
2014-01-01,62
2014-02-01,30
2014-03-01,45
2014-04-01,38
2014-05-01,71
2014-06-01,45
2014-07-01,32
2014-08-01,42
2014-09-01,40
2014-10-01,49
2014-11-01,61
2014-12-01,33
2015-01-01,62
2015-02-01,51
2015-03-01,73
2015-04-01,55
2015-05-01,43
2015-06-01,38
2015-07-01,48
2015-08-01,40
2015-09-01,33
2015-10-01,42
2015-11-01,52
2015-12-01,42
2016-01-01,45
2016-02-01,46
2016-03-01,62
2016-04-01,59
2016-05-01,57
2016-06-01,52
2016-07-01,45
2016-08-01,54
2016-09-01,50
2016-10-01,57
2016-11-01,60
2016-12-01,19
2017-01-01,70
2017-02-01,68
2017-03-01,68
2017-04-01,55
2017-05-01,51
2017-06-01,50
2017-07-01,39
2017-08-01,32
2017-09-01,43
2017-10-01,34
2017-11-01,56
2017-12-01,48
2018-01-01,48
2018-02-01,50
2018-03-01,56
2018-04-01,41
2018-05-01,48
2018-06-01,48
2018-07-01,46
2018-08-01,42
2018-09-01,36
2018-10-01,57
2018-11-01,47
2018-12-01,39
2019-01-01,44
2019-02-01,25
2019-03-01,45
2019-04-01,44
2019-05-01,40
2019-06-01,33
2019-07-01,34
2019-08-01,35
2019-09-01,45
2019-10-01,54
2019-11-01,43
2019-12-01,53
2020-01-01,47
2020-02-01,59
2020-03-01,58
2020-04-01,59
2020-05-01,59
2020-06-01,69
2020-07-01,47
2020-08-01,34
2020-09-01,61
2020-10-01,54
2020-11-01,50
2020-12-01,56
2021-01-01,66
2021-02-01,58
2021-03-01,71
2021-04-01,65
2021-05-01,36
2021-06-01,47
2021-07-01,46
2021-08-01,35
2021-09-01,39
2021-10-01,41
2021-11-01,48
2021-12-01,57
2022-01-01,64
2022-02-01,69
2022-03-01,64
2022-04-01,58
2022-05-01,57
2022-06-01,55
2022-07-01,40
2022-08-01,28
2022-09-01,65
2022-10-01,54
2022-11-01,56
2022-12-01,43
2023-01-01,61
2023-02-01,48
2023-03-01,62
2023-04-01,46
2023-05-01,49
2023-06-01,58
2023-07-01,50
2023-08-01,40
2023-09-01,57
2023-10-01,55
2023-11-01,62
2023-12-01,43
2024-01-01,53
2024-02-01,76
2024-03-01,50
2024-04-01,64
2024-05-01,54
2024-06-01,65
2024-07-01,45
2024-08-01,45
2024-09-01,47
2024-10-01,56
2024-11-01,58
2024-12-01,50
2025-01-01,78
2025-02-01,66
2025-03-01,62
2025-04-01,50
2025-05-01,65
2025-06-01,55
2025-07-01,43
2025-08-01,48
2025-09-01,49
2025-10-01,49
2025-11-01,81
2025-12-01,66
2026-01-01,57
2026-02-01,58
2026-03-01,54
2026-04-01,53
2026-05-01,59
2026-06-01,62
2026-07-01,43
