date,kw_praktikum
2008-01-01,68
2008-02-01,73
2008-03-01,61
2008-04-01,55
2008-05-01,47
2008-06-01,47
2008-07-01,43
2008-08-01,33
2008-09-01,44
2008-10-01,59
2008-11-01,49
2008-12-01,41
2009-01-01,76
2009-02-01,73
2009-03-01,75
2009-04-01,52
2009-05-01,60
2009-06-01,52
2009-07-01,46
2009-08-01,42
2009-09-01,54
2009-10-01,55
2009-11-01,59
2009-12-01,52
2010-01-01,73
2010-02-01,75
2010-03-01,70
2010-04-01,61
2010-05-01,55
2010-06-01,50
2010-07-01,43
2010-08-01,49
2010-09-01,55
2010-10-01,58
2010-11-01,65
2010-12-01,48
2011-01-01,76
2011-02-01,74
2011-03-01,69
2011-04-01,51
2011-05-01,53
2011-06-01,51
2011-07-01,53
2011-08-01,42
2011-09-01,54
2011-10-01,55
2011-11-01,66
2011-12-01,50
2012-01-01,76
2012-02-01,74
2012-03-01,74
2012-04-01,57
2012-05-01,56
2012-06-01,50
2012-07-01,53
2012-08-01,48
2012-09-01,54
2012-10-01,63
2012-11-01,72
2012-12-01,51
2013-01-01,78
2013-02-01,73
2013-03-01,67
2013-04-01,62
2013-05-01,53
2013-06-01,52
2013-07-01,51
2013-08-01,51
2013-09-01,64
2013-10-01,75
2013-11-01,76
2013-12-01,59
2014-01-01,94
2014-02-01,86
2014-03-01,85
2014-04-01,65
2014-05-01,61
2014-06-01,56
2014-07-01,54
2014-08-01,56
2014-09-01,67
2014-10-01,79
2014-11-01,85
2014-12-01,58
2015-01-01,91
2015-02-01,90
2015-03-01,80
2015-04-01,71
2015-05-01,57
2015-06-01,62
2015-07-01,54
2015-08-01,54
2015-09-01,67
2015-10-01,78
2015-11-01,76
2015-12-01,62
2016-01-01,100
2016-02-01,92
2016-03-01,83
2016-04-01,75
2016-05-01,64
2016-06-01,66
2016-07-01,47
2016-08-01,50
2016-09-01,72
2016-10-01,75
2016-11-01,78
2016-12-01,58
2017-01-01,89
2017-02-01,84
2017-03-01,81
2017-04-01,59
2017-05-01,60
2017-06-01,56
2017-07-01,54
2017-08-01,45
2017-09-01,61
2017-10-01,72
2017-11-01,72
2017-12-01,53
2018-01-01,83
2018-02-01,71
2018-03-01,63
2018-04-01,59
2018-05-01,50
2018-06-01,48
2018-07-01,46
2018-08-01,40
2018-09-01,56
2018-10-01,64
2018-11-01,65
2018-12-01,47
2019-01-01,72
2019-02-01,69
2019-03-01,63
2019-04-01,50
2019-05-01,48
2019-06-01,45
2019-07-01,48
2019-08-01,37
2019-09-01,50
2019-10-01,61
2019-11-01,56
2019-12-01,46
2020-01-01,69
2020-02-01,65
2020-03-01,35
2020-04-01,28
2020-05-01,40
2020-06-01,53
2020-07-01,46
2020-08-01,40
2020-09-01,49
2020-10-01,50
2020-11-01,46
2020-12-01,39
2021-01-01,60
2021-02-01,65
2021-03-01,56
2021-04-01,50
2021-05-01,43
2021-06-01,43
2021-07-01,41
2021-08-01,35
2021-09-01,47
2021-10-01,53
2021-11-01,47
2021-12-01,44
2022-01-01,76
2022-02-01,75
2022-03-01,64
2022-04-01,51
2022-05-01,49
2022-06-01,43
2022-07-01,43
2022-08-01,38
2022-09-01,44
2022-10-01,55
2022-11-01,53
2022-12-01,43
2023-01-01,70
2023-02-01,67
2023-03-01,60
2023-04-01,45
2023-05-01,43
2023-06-01,44
2023-07-01,42
2023-08-01,36
2023-09-01,49
2023-10-01,53
2023-11-01,55
2023-12-01,45
2024-01-01,74
2024-02-01,76
2024-03-01,60
2024-04-01,51
2024-05-01,46
2024-06-01,40
2024-07-01,41
2024-08-01,35
2024-09-01,50
2024-10-01,61
2024-11-01,62
2024-12-01,51
2025-01-01,75
2025-02-01,71
2025-03-01,70
2025-04-01,50
2025-05-01,48
2025-06-01,43
2025-07-01,40
2025-08-01,36
2025-09-01,53
2025-10-01,64
2025-11-01,65
2025-12-01,53
2026-01-01,78
2026-02-01,69
2026-03-01,67
2026-04-01,52
2026-05-01,45
2026-06-01,43
2026-07-01,38
