date,kw_hotel
2008-01-01,82
2008-02-01,87
2008-03-01,89
2008-04-01,81
2008-05-01,84
2008-06-01,86
2008-07-01,100
2008-08-01,96
2008-09-01,84
2008-10-01,71
2008-11-01,68
2008-12-01,64
2009-01-01,77
2009-02-01,75
2009-03-01,79
2009-04-01,80
2009-05-01,81
2009-06-01,85
2009-07-01,100
2009-08-01,100
2009-09-01,82
2009-10-01,72
2009-11-01,66
2009-12-01,62
2010-01-01,76
2010-02-01,77
2010-03-01,76
2010-04-01,75
2010-05-01,80
2010-06-01,89
2010-07-01,94
2010-08-01,96
2010-09-01,80
2010-10-01,69
2010-11-01,62
2010-12-01,59
2011-01-01,77
2011-02-01,75
2011-03-01,70
2011-04-01,69
2011-05-01,78
2011-06-01,82
2011-07-01,99
2011-08-01,92
2011-09-01,73
2011-10-01,68
2011-11-01,63
2011-12-01,59
2012-01-01,74
2012-02-01,71
2012-03-01,68
2012-04-01,70
2012-05-01,75
2012-06-01,78
2012-07-01,92
2012-08-01,87
2012-09-01,70
2012-10-01,66
2012-11-01,63
2012-12-01,58
2013-01-01,73
2013-02-01,71
2013-03-01,69
2013-04-01,68
2013-05-01,71
2013-06-01,76
2013-07-01,90
2013-08-01,87
2013-09-01,72
2013-10-01,64
2013-11-01,59
2013-12-01,57
2014-01-01,76
2014-02-01,71
2014-03-01,70
2014-04-01,67
2014-05-01,72
2014-06-01,80
2014-07-01,94
2014-08-01,89
2014-09-01,73
2014-10-01,63
2014-11-01,61
2014-12-01,60
2015-01-01,74
2015-02-01,76
2015-03-01,70
2015-04-01,68
2015-05-01,75
2015-06-01,81
2015-07-01,87
2015-08-01,90
2015-09-01,67
2015-10-01,64
2015-11-01,56
2015-12-01,58
2016-01-01,72
2016-02-01,71
2016-03-01,66
2016-04-01,65
2016-05-01,74
2016-06-01,74
2016-07-01,91
2016-08-01,86
2016-09-01,72
2016-10-01,64
2016-11-01,57
2016-12-01,57
2017-01-01,76
2017-02-01,70
2017-03-01,67
2017-04-01,67
2017-05-01,71
2017-06-01,77
2017-07-01,89
2017-08-01,88
2017-09-01,67
2017-10-01,65
2017-11-01,59
2017-12-01,59
2018-01-01,81
2018-02-01,71
2018-03-01,69
2018-04-01,65
2018-05-01,70
2018-06-01,75
2018-07-01,92
2018-08-01,84
2018-09-01,72
2018-10-01,67
2018-11-01,58
2018-12-01,62
2019-01-01,70
2019-02-01,72
2019-03-01,68
2019-04-01,59
2019-05-01,71
2019-06-01,79
2019-07-01,90
2019-08-01,88
2019-09-01,70
2019-10-01,61
2019-11-01,62
2019-12-01,62
2020-01-01,78
2020-02-01,69
2020-03-01,34
2020-04-01,21
2020-05-01,33
2020-06-01,60
2020-07-01,71
2020-08-01,75
2020-09-01,57
2020-10-01,40
2020-11-01,18
2020-12-01,19
2021-01-01,22
2021-02-01,21
2021-03-01,21
2021-04-01,24
2021-05-01,51
2021-06-01,74
2021-07-01,86
2021-08-01,94
2021-09-01,69
2021-10-01,58
2021-11-01,36
2021-12-01,39
2022-01-01,55
2022-02-01,65
2022-03-01,57
2022-04-01,65
2022-05-01,71
2022-06-01,77
2022-07-01,81
2022-08-01,78
2022-09-01,67
2022-10-01,58
2022-11-01,49
2022-12-01,51
2023-01-01,68
2023-02-01,66
2023-03-01,59
2023-04-01,59
2023-05-01,64
2023-06-01,70
2023-07-01,80
2023-08-01,74
2023-09-01,65
2023-10-01,59
2023-11-01,51
2023-12-01,53
2024-01-01,71
2024-02-01,72
2024-03-01,63
2024-04-01,61
2024-05-01,69
2024-06-01,70
2024-07-01,81
2024-08-01,82
2024-09-01,62
2024-10-01,57
2024-11-01,50
2024-12-01,53
2025-01-01,61
2025-02-01,59
2025-03-01,57
2025-04-01,55
2025-05-01,61
2025-06-01,66
2025-07-01,73
2025-08-01,76
2025-09-01,63
2025-10-01,57
2025-11-01,58
2025-12-01,62
2026-01-01,67
2026-02-01,70
2026-03-01,63
2026-04-01,58
2026-05-01,62
2026-06-01,63
2026-07-01,75
